#,Country,Life Expectancy (both sexes),Females Life Expectancy,Males Life Expectancy,latitude,longitude
115,Micronesia,72.91,75.97,70.0,8.6062347,151.832744331612
116,Venezuela,72.89,77.25,68.76,8.0018709,-66.1109318
117,Bulgaria,72.84,76.37,69.55,42.6073975,25.4856617
118,Suriname,72.79,76.25,69.42,4.1413025,-56.0771187
119,Samoa,72.75,75.5,70.29,-13.7693895,-172.12005
120,Bhutan,72.49,74.45,70.8,27.549511,90.5119273
121,Syria,72.45,76.27,68.82,34.6401861,39.0494106
122,Georgia,72.43,77.24,67.56,32.3293809,-83.1137366
123,Jamaica,72.37,74.6,70.14,18.1850507,-77.3947693
124,Philippines,72.3,74.32,70.3,12.7503486,122.7312101
125,Iraq,72.05,74.03,69.92,33.0955793,44.1749775
126,India,72.03,73.65,70.52,22.3511148,78.6677428
127,Uzbekistan,71.78,74.43,69.12,41.32373,63.9528098
128,Cambodia,71.46,73.75,69.09,12.5433216,104.8144914
129,Tajikistan,71.43,73.69,69.3,38.6281733,70.8156541
130,Tonga,71.41,74.29,68.69,-19.9160819,-175.202642
131,Micronesia,71.32,75.18,67.72,8.6062347,151.832744331612
132,Western Sahara,71.19,73.34,69.51,24.16819605,-13.892143025000001
133,Kyrgyzstan,71.16,75.5,66.88,41.5089324,74.724091
134,Indonesia,71.1,73.27,68.96,-2.4833826,117.8902853
135,Solomon Islands,70.86,72.51,69.38,-8.7053941,159.1070693851845
136,Egypt,70.81,73.22,68.48,26.2540493,29.2675469
137,Nepal,70.78,72.68,68.87,28.1083929,84.0917139
138,Vanuatu,70.69,73.28,68.48,-16.5255069,168.1069154
139,Kazakhstan,70.36,73.9,66.58,48.1012954,66.7780818
140,St. Vincent & Grenadines,70.28,73.08,67.92,12.90447,-61.2765569
141,Guatemala,70.15,73.09,67.26,15.5855545,-90.345759
142,Guyana,69.8,73.33,66.36,4.8417097,-58.6416891
143,Turkmenistan,69.54,73.07,66.04,39.3763807,59.3924609
144,Moldova,69.51,74.21,65.05,47.2879608,28.5670941
145,Senegal,69.31,71.75,66.71,14.4750607,-14.4529612
146,Timor-Leste,69.31,71.1,67.67,-8.7443169,126.063482
147,Laos,69.27,71.46,67.19,20.0171109,103.378253
148,Sao Tome & Principe,68.89,72.04,66.13,-11.705617,-63.854835
149,Bolivia,68.78,71.46,66.2,-17.0568696,-64.9912286
150,Fiji,68.45,70.41,66.58,-18.1239696,179.0122737
151,Kiribati,67.83,69.59,65.88,0.3448612,173.6641773
152,Tanzania,67.6,69.8,65.46,-6.5247123,35.7878438
153,Myanmar,67.46,70.69,64.38,17.1750495,95.9999652
154,Rwanda,67.35,69.49,65.02,-1.9646631,30.0644358
155,Pakistan,67.34,69.74,65.08,30.3308401,71.247499
156,Eritrea,67.32,69.4,65.17,15.9500319,37.9999668
157,Ethiopia,66.65,69.75,63.73,10.2116702,38.6521203
158,Madagascar,66.43,68.84,64.14,-18.9249604,46.4416422
159,Gabon,66.17,68.76,63.87,-0.8999695,11.6899699
160,Papua New Guinea,66.12,69.34,63.51,-5.6816069,144.2489081
161,Sudan,66.1,68.7,63.57,14.5844444,29.4917691
162,Botswana,66.05,68.56,63.45,-23.1681782,24.5928742
163,Mauritania,65.48,67.33,63.64,20.2540382,-9.2399263
164,Comoros,65.04,67.35,62.91,-12.2045176,44.2832964
165,Haiti,64.75,67.82,61.81,19.1399952,-72.3570972
166,Ghana,64.53,66.72,62.37,8.0300284,-1.0800271
167,Yemen,64.52,68.08,61.23,16.3471243,47.8915271
168,Afghanistan,64.23,67.44,61.2,33.7680065,66.2385139
169,Gambia,64.12,65.63,62.62,13.470062,-15.4900464
170,Uganda,63.84,65.93,61.68,1.5333554,32.2166578
171,Djibouti,63.71,66.3,61.23,11.8145966,42.8453061
172,Malawi,63.67,67.15,60.24,-13.2687204,33.9301963
173,Kenya,63.34,65.83,60.95,1.4419683,38.4313975
174,Congo,63.26,64.86,61.69,-2.9814344,23.8222636
175,Angola,63.24,65.77,60.72,-11.8775768,17.5691241
176,Zambia,62.96,65.67,60.19,-14.5189121,27.5589884
177,Niger,62.93,64.26,61.65,17.7356214,9.3238432
178,South Africa,62.89,65.69,59.85,-28.8166236,24.991639
179,Burundi,62.5,64.45,60.54,-3.426449,29.9324519
180,Mozambique,62.37,65.15,59.48,-19.302233,34.9144977
181,Liberia,62.04,63.34,60.73,5.7499721,-9.3658524
182,Equatorial Guinea,61.97,64.02,60.23,1.613172,10.5170357
183,Cameroon,61.92,63.47,60.39,4.6125522,13.1535811
184,Zimbabwe,61.92,64.32,59.18,-18.4554963,29.7468414
185,Togo,61.82,62.49,61.14,8.7800265,1.0199765
186,Sierra Leone,60.79,62.11,59.46,8.6400349,-11.8400269
187,DR Congo,60.63,62.78,58.54,-2.9814344,23.8222636
188,Burkina Faso,60.57,62.39,58.67,12.0753083,-1.6880314
189,Guinea-Bissau,60.56,62.62,58.38,11.815215,-15.2351044
190,Benin,60.45,62.16,58.77,9.5293472,2.2584408
191,Côte d'Ivoire,60.11,61.46,58.86,7.9897371,-5.5679458
192,Mali,60.03,61.41,58.7,16.3700359,-2.2900239
193,Guinea,59.55,60.83,58.18,10.7226226,-10.7083587
194,Namibia,59.53,63.13,55.98,-23.2335499,17.3231107
195,Eswatini,57.71,61.86,53.98,-26.5624806,31.3991317
196,Somalia,57.35,59.47,55.32,8.3676771,49.083416
197,South Sudan,56.51,57.97,54.99,7.8699431,29.6667897
198,Central African Republic,55.48,57.68,53.38,7.0323598,19.9981227
199,Lesotho,54.91,57.82,52.12,-29.6039267,28.3350193
200,Nigeria,53.87,54.24,53.51,9.6000359,7.9999721
201,Chad,53.68,55.41,52.01,15.6134137,19.0156172
